reference_date,year,state_code,sex_code,age_group,census_basis,population_persons
2021-12-31,2021,10,M,85-89,Census 2011 basis,8777
2021-12-31,2021,10,M,90+,Census 2011 basis,3113
2021-12-31,2021,11,F,0-17,Census 2011 basis,300209
2021-12-31,2021,11,F,18-29,Census 2011 basis,264355
2021-12-31,2021,11,F,30-44,Census 2011 basis,435325
2021-12-31,2021,11,F,45-64,Census 2011 basis,467144
2021-12-31,2021,11,F,65-74,Census 2011 basis,183314
2021-12-31,2021,11,F,75-84,Census 2011 basis,156028
2021-12-31,2021,11,F,85-89,Census 2011 basis,41742
2021-12-31,2021,11,F,90+,Census 2011 basis,21529
2021-12-31,2021,11,M,0-17,Census 2011 basis,317414
2021-12-31,2021,11,M,18-29,Census 2011 basis,263676
2021-12-31,2021,11,M,30-44,Census 2011 basis,452404
2021-12-31,2021,11,M,45-64,Census 2011 basis,470873
2021-12-31,2021,11,M,65-74,Census 2011 basis,154536
2021-12-31,2021,11,M,75-84,Census 2011 basis,115732
2021-12-31,2021,11,M,85-89,Census 2011 basis,24739
2021-12-31,2021,11,M,90+,Census 2011 basis,8452
2021-12-31,2021,12,F,0-17,Census 2011 basis,198159
2021-12-31,2021,12,F,18-29,Census 2011 basis,103882
2021-12-31,2021,12,F,30-44,Census 2011 basis,235578
2021-12-31,2021,12,F,45-64,Census 2011 basis,387492
2021-12-31,2021,12,F,65-74,Census 2011 basis,168839
2021-12-31,2021,12,F,75-84,Census 2011 basis,133807
2021-12-31,2021,12,F,85-89,Census 2011 basis,40176
2021-12-31,2021,12,F,90+,Census 2011 basis,19610
2021-12-31,2021,12,M,0-17,Census 2011 basis,210084
2021-12-31,2021,12,M,18-29,Census 2011 basis,117425
2021-12-31,2021,12,M,30-44,Census 2011 basis,244095
2021-12-31,2021,12,M,45-64,Census 2011 basis,394419
2021-12-31,2021,12,M,65-74,Census 2011 basis,154629
2021-12-31,2021,12,M,75-84,Census 2011 basis,98948
2021-12-31,2021,12,M,85-89,Census 2011 basis,23384
2021-12-31,2021,12,M,90+,Census 2011 basis,7341
2021-12-31,2021,13,F,0-17,Census 2011 basis,120879
2021-12-31,2021,13,F,18-29,Census 2011 basis,72639
2021-12-31,2021,13,F,30-44,Census 2011 basis,147343
2021-12-31,2021,13,F,45-64,Census 2011 basis,238199
2021-12-31,2021,13,F,65-74,Census 2011 basis,115980
2021-12-31,2021,13,F,75-84,Census 2011 basis,83282
2021-12-31,2021,13,F,85-89,Census 2011 basis,26644
2021-12-31,2021,13,F,90+,Census 2011 basis,12751
2021-12-31,2021,13,M,0-17,Census 2011 basis,126566
2021-12-31,2021,13,M,18-29,Census 2011 basis,79754
2021-12-31,2021,13,M,30-44,Census 2011 basis,159708
2021-12-31,2021,13,M,45-64,Census 2011 basis,242907
2021-12-31,2021,13,M,65-74,Census 2011 basis,105251
2021-12-31,2021,13,M,75-84,Census 2011 basis,60272
2021-12-31,2021,13,M,85-89,Census 2011 basis,14440
